Description,Date,Attende,Location,Project,Access,Agenda Type,Category,Duration,Meet Type,Notes,Project Link
Final Meeting Sponsor Kencana Baja Ringan,"5/22/2025, 1:00:00 PM","Ricky,Bayu",Online Meeting,Foufo,"bod,team",Meeting,Production,0 Menit,Online,"KENCANA X FOUFO
Meeting Sponsor
Tanggal : Kamis, 22 Mei 2025
Jam : 14.00 - Selesai

Attendees : 
Bu Leli (Direktur KMB)
Tim Kencana Baja ( Adam, Louisa, Revangga, Yunita, Rere)
Mas Ricky
Mas Bayu
Mas Mahes
Anggra

Pembahasan : 

ADEGAN

- KMB akan muncul di 2scene utama : 
1. Scene saat mau merakit ufo, keluarga muslim ke toko kencana (lokasi di kantor kencana : tbc akan diskusi setnya dimana) 
2. Di toko Mat Saleh akan ada baja-baja KBJ sebagai props

- Selain itu akan ada scene soft selling seperti : 
Kaos kencana dipakai karakter
Di acara doorprize akan ada logo KMB
Logo-logo KMB akan bermunculan di toko-toko
Scene montase saat mau merakit ufo, character akan memakai aplikasi dari web KMB (mainskate)
Kaos kencana akan dipakai oleh tukang-tukang karena marketmya kalangan C,D.

- Jadi selain 2 scene utama, ada brand placement dan softselling

- Untuk scene toko Mat Saleh (props) barang-barang dari KJB sifatnya hanya dipijamkan, jadi setelah shootingnya selesai harus dikembalikan.

- Revangga akan kirimkan catalog terbaru, jadi alurnya :  katalog kirim ke tim Skak, Tim Skak  diskusi dengan tim art barang mana aja yang dibutuhkan (tim KJB akan suggest barang-barang yang bisa di las untuk merakit kerangka ufo fase 1) dan untuk keperluan properti di toko Mat Saleh

_________________________________

SPK & PEMBAYARAN
masalah pembayaran spesifiknya bagaimana? dari KMB mau by termin. - Mahes nanti kirim quotation (by termin), SPK, Invoice.

_________________________________

PROMO

- Tim KMB mau mengadakan talkshow di kantor KMB, semua kebutuhan acara akan diprovide dari KMB termasuk media, konsumsi dan yang lain, jadi tim promo dan cast hanya tinggal datang saja dan mengikuti acaranya

- Kantor KMB ini bentuknya office bukan pabrik

- Talkshow akan diikuti karyawan KMB dan tidak dibuka untuk umum karena keterbatasan tampat yang kurang memadai untuk menampung banyak orang

- Tim Skak setuju dengan acara talkshow dengan catatan : Seluruh karyawan KMB harus sudah menonton film Foufo agar aktif dan ramai saat acara

- KMB akan mendapatkan 150 tiket nobar dari paket sponsorship, 150an KMB akan provide ke karyawannya untuk menonton film Foufo

- Mas bayu ke tim Skak : sounding ke talent untuk talkshow di KMB agar talent tidak menyodorkan rate card, Arrange pemain dari sekarang untuk acara ini

- Mas Ricky : mau masukan visit ke kencana ke rencana acara roadshow (komunikasi ke talent : presscon di gedung kencana) atau bisa juga dimasukan acara makan siang dan undang media

- Tim KJB mau konten exclusive dengan mas bayu, namun untuk itu kaitannya dengan management artist mas bayu.

- Mas Bayu suggest untuk konten bersama Mas Bayu contoh video tiktok menjelaskan buat ufo bisa langsung bilang mulai dari kerangka dari kencana (Ma bayu mau bikin konten selagi berhubungan dengan film Foufo),  konten yang bisa di explore pesawat ufo bisa jadi extended konten.

- Tim KMB mau collab activation bikin kuis sama kmb di akun intagram foufo 

- Soal detail-detail promo dimasukan ke SPK (seperti logo-logo akan ada dimana saja)

- Untuk detail keterlibatan KMB saat promo akan didskusikan saat meeting selanjutnya

_________________________________

Next Move : 
- Tim KMB menunggu SPK kemudian meeting teknis
butuh detail request yang dibutuhkan
- Next meeting diskusikan soal talksow di KMB
- Next meeting obrolin creative

Minutes by,
Ang.",
Photo Poster ,"5/23/2025, 9:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Promo,,Offline,,
4th PPM - Final,"5/24/2025, 1:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,"FINAL PPM
Sabtu, 24 Mei 2025

Pembahasan : 
31 Mei Day 1 - Last Day 22 Juni 

Shooting Timeline
Update Makeup
Hotel pemain non jakarta & crew
________________________________________

Highlits :
- Buat simple design untuk ID Card Crew (hanya tulisan crew aja gak usah pake nama)
- Selama shooting di jakarta pakai 2 kamera
- Makan bebek carok seminggu 2x untuk cathering (komunikasi ke tim bebek carok)
- Pembagian tugas CGI : scene sawah dan saiqonah berangkat (Apis) & Scene Cosmos (Hompimpa)
- Set meeting hari ini untuk diskusi detail dengan tim sutradara
- karakter Sentot ganti nama jadi Ropan
- 30 Mei pagi pemain daily yang jadi Kurir dan Polisi datang dari Surabaya untuk reading bersama Nur, akan di lead Dono


______________________________________

TIMELINE SHOOTING 

DAY 1
Yudis : 
- hari pertama belum ada foufo, ambil scene ringan untuk pemanasan
- ac hanya ada 2 ac 5pk, bambang nanti tempatnya barengan sama muslim yang ruangannya dingin, untuk talent lain ada tempat lain
- yudis to hompimpa : foto 360 mau dari day 1 atau gimana? ans : janjian H-2 untuk screening set (go pro di taro untuk titik lighting)
- yudis ke casting : pembagian ke talco? ada talco khusus untuk bambang
- Tanggal 30 tim produksi visit lokasi (siang-sore)
- sebelum day 1 ada prelight

Talent : ISSUES FOUFO 
- solusi helm pengganti helm foufo, helm simple (untuk scene scene ringan seperti berdua sama muslim)
- PR basecamp untuk talent lain saat exterior, bambang ceper nanti akan tunggu di mobil

ART 
- Kamar Muslim (tahap finishing)
- Lapak Jus (tahap finishing)
- Lapak Muslim (tahap finishing) : confirm ufo bisa masuk ke lapak
- Grafitti aman
- Exterior rumah & lapak muslim (tahap finishing)
- Ruang tamu muslim (tahap finishing, tembok di-agging lagi ada rembesan air)

CGI : 
- Background memakai tim CGI yang baru, LP harus diskusi apakah masih bisa pakai green screen atau mengganti semua menjadi blue? yang ready itu green screen, ditunggu info update dari mas ricky

MAKE UP EFFECT : 
- tangan Foufo aman kalau dilepas copot tidak terlalu lama untuk pemasangannya


DAY 2 
Yudis : 
- hari pertama ada Bambang tapi bukan Foufo
ada adegan outdor (gang), jalanan depan rumah aman
- Selalu ada Selis untuk adegan depan rumah

DAY 3 
Yudis : 
- Montase 68E harus dicocokin brief mas bayu (tetap diambil suaranya) - update ke ichole juga soal list scene ini gak ada notes dari mas bayu soal musik
- Selama Preparation lokasi rumah muslim selalu hujan (hujan kemarau) biasanya dari sore
hari pertama ada Foufo 

Lokasi : 
Jika ada kebocoran sat hujan akan menjadi tanggung jawab pemilik

Art : 
Dapur rumah muslim - thap finishing 

CGI : 
Foufo akan lebih banyak pake helm warna biru
Adegan cosmos di studio sc 40 76 akan masih dihandle hompipa
Yudis minta list bagian hompimpa, harus didiskusikan dengan produser (mas ricky) dan tim art

DAY 4
Yudis : 
- Full dalam Lapak
- Pemakaian Dolly Telejib 7800 for SC 63
- SC 18 (scene akhir) long night

Talent : 
- Surat izin shooting untuk tentara pemain polisi untuk shooting tanggal 3 Mei 2025 (ang follow up)

DAY 5
Yudis : 
- Full Lapak Muslim
akan ada Iron Man (Cak Udin)
- Keris akan ditentukan ukurannya yang mana
- Sc 20 : ambil wide toni pingsan, foufonya diem, lalu nanti ambil shot saat mas ade menjadi VO

Tanggal 5 & 6 break karena takbiran idul adha dan idul adha

DAY 6 
- Pakai tenda kawinan
- Day For Night dalam rumah (25&26)
- Sc 65 - ufo fase 2 sudah dipreteli
- ada q take

DAY 7
- makan siang bebek carok karena pake box

DAY 8
- Rumah muslim full
- ada props mobil alphard
- scene 54 ada adegan makan bebek carok, based on final ppm ada kebutuhan props untuk cetak box nya bebek carok yang tanpa tulisan muslim, dan gambarnya muslim -+ 150pcs, api harus sudah ready di awal juni, tim art butuh konfirmasi kesanggupan dari tim bebek carok atau enggak secepatnya

DAY 9 
aman

DAY 10 
- ada day for night
- ada scene warung madura (banyak placement sponsor)
- Psewat Foufo fase 3
- ada adegan pesawat

DAY 11
- Full shooting di studio : Lokasi Studio Elang
special equip ( ada di schedule)
alat masuk studio H-1
- untuk background pakai green screen, setelah keputusan ini, tim wardrobe akan mengurangi baju hijau di scene tersebut

DAY 12 
- Lokasi sawah (kampus cilodong cisalak)
- Pesawat ufo fase terakhir
- ada special equip ada di schedule
- scene saiqonah pake greenscreen : bagian CGI baru 
- Basecampnya pakai tenda

DAY 13
- Lokasi sawah
- Callingan sore

DAY 14
- 2 kamera untuk tasyakuran
- untuk montage kamera akan pecah tim untuk ambil gambar montase
- basecamp : di kelurahan

DAY 15
- motor selis untuk scene sekolah 
- ada pak armuji jadi kepala sekolah

DAY 16
- banyak moving
- outdoor scene
- ada special equipment (ada di schedule) - camera rigging untuk selis camar (sponsor)

DAY 17
- Traveling scene titik awal surabaya lama jembatan merah, titik henti taman sejarah
- greenscreen di depan lobby

DAY 18
- Split tim 
- tidak ada night scene

KEBERANGKATAN CREW MOVING TO SURABAYA
Keberangakatan naik kereta HOD
Sisanya sleeper bus
Ada pake mobil van untuk beberapa alat
anak art tanggal 14 udah berangkat ke surabaya
Mas Bayu berangkat ke Surabaya duluan tanggal 16 Juni pagi

Minutes by,
Ang.
",
Acting Coaching,"5/24/2025, 4:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Pre Production,,Offline,,
Shooting - Day 1,"5/31/2025, 8:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  05.30 WIB
First Meal :05.30 WIB
First Cam Roll: 07.58 WIB

Second Meal :   12.05 WIB
Break off: 12.50 WIB
Second Roll:   13.19 WIB

Third Meal : 18.10 WIB
Break Off  : 18.50 WIB
Third roll: 19.07 WIB

WRAP :  20.29 WIB

SCENE : 5

- ⁠Scene 45✅
- ⁠Scene 47✅
- ⁠Scene 46✅
- ⁠Scene 56✅
- ⁠Scene 24✅

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  1 days 
 • Sisa Shooting Days : 17 days 


Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 2,"6/1/2025, 8:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.00 WIB
First Meal : 06.00 WIB
First Cam Roll: 08.10 WIB

Second Meal : 12.10 WIB
Break off: 13.00 WIB
Second Roll: 13.15 WIB

Third Meal : 18.20 WIB
Break Off  : 19.05 WIB
Third roll: 19.45 WIB

WRAP :  22.49 WIB

SCENE : 4
- ⁠Scene 12✅
- ⁠Scene 10✅
- ⁠Scene 11✅
- ⁠Scene 13✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A. (14 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  2 days 
 • Sisa Shooting Days : 16 days 

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 4,"6/3/2025, 6:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.30 WIB
First Meal : 06.30 WIB
First Cam Roll:  09.00 WIB

Second Meal : 12.12 WIB
Break off: 12.57 WIB
Second Roll:  13.24WIB

Third Meal :  WIB
Break Off  : WIB
Third roll: WIB

Notes :
- tambahan scene dari scene 18 (di dalam pesawat Foufo agak goyang-goyang karena kacong benturin kepala ke pesawat
- akan di take di studio

SCENE : 4

- ⁠Scene 31 ✅
- ⁠Scene 63✅
- ⁠Scene 60✅
- ⁠Scene 18📽️

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A. (14 scene)❌


 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  4 days 
 • Sisa Shooting Days : 14 days 


Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 5,"6/4/2025, 9:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  07.30 WIB
First Meal : 07.30 WIB
First Cam Roll:  09.23 WIB

Second Meal : 12.30 WIB
Break off: 13.15 WIB
Second Roll:  13.35 WIB

Third Meal :  17.19 WIB
Break Off  : 18.50 WIB
Third roll: 20.10 WIB

MTM : 00.15 WIB

WRAP :  00.15 WIB

SCENE : 5

- ⁠Scene 55A✅
- ⁠Scene 20A✅
- ⁠Scene 58✅
- ⁠Scene 19✅
- ⁠Scene 20✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A. (14 scene)❌


 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  5 days 
 • Sisa Shooting Days : 13 days 


Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 3,"6/2/2025, 8:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.30 WIB
First Meal : 06.30 WIB
First Cam Roll: 08.41 WIB

Second Meal : 11.52 WIB
Break off: 12.35 WIB
Second Roll: 13.08 WIB

Third Meal : 18.23 WIB
Break Off  : 19.00 WIB
Third roll: 20.39 WIB

WRAP :  22.46 WIB

SCENE : 5
- ⁠Scene 48 ✅
- ⁠Scene 72 ✅
- ⁠Scene 68E✅
- ⁠Scene 75✅
- ⁠Scene 40 ✅

Add Scene: 67A ✅ (1 scene)

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A. (14 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  3 days 
 • Sisa Shooting Days : 15 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 6,"6/7/2025, 8:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.00 WIB
First Meal : 06.00 WIB
First Cam Roll:  08.56 WIB

Second Meal : 12.01 WIB
Break off: 12.45 WIB
Second Roll:  13.15 WIB

Third Meal :  18.19 WIB
Break Off  : 18.55 WIB
Third roll: 19.31 WIB

MTM : WIB


WRAP :  WIB

Notes : 

SCENE : 5

- ⁠Scene 25✅
- ⁠Scene 25A✅
- ⁠Scene 26✅
- ⁠Scene 65⏹️
- ⁠Scene 67⏹️

Add Scene: 

Tarik Scene: 23+23A 📽️, 24A. (3 Scene)

Scene Delayed: 65, 67 ⏹️ (2 scene)

Hutang Shot:

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A. (14 scene)❌

hambatan: Hujan dari jam 15.23 - 17.50 WIB

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  6 days 
 • Sisa Shooting Days : 12 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 7,"6/8/2025, 5:22:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.30 WIB
First Meal : 06.30 WIB
First Cam Roll:  08.49 WIB

Second Meal : 12.10 WIB
Break off: 12.57 WIB
Second Roll:  13.52 WIB

Third Meal :  17.45 WIB
Break Off  : 18.30 WIB
Third roll: 19.48 WIB

WRAP :  23.30 WIB

SCENE : 7
- Scene 21D ✅
- ⁠scene 22✅
- ⁠Scene 71A✅
- ⁠Scene 68A✅
- ⁠scene 68D✅
- ⁠Scene 65✅
- ⁠Scene 67✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C (15 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  7 days 
 • Sisa Shooting Days : 11 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 8,"6/9/2025, 8:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  07.00 WIB
First Meal : 07.00 WIB
First Cam Roll:  08.44 WIB

Second Meal : 12.41 WIB
Break off: 13.40 WIB
Second Roll:  14.16 WIB

Third Meal :  17.30 WIB
Break Off  : 18.20 WIB
Third roll: 19.40 WIB

WRAP :  21.49WIB

SCENE : 6
- ⁠scene 48A✅
- ⁠Scene 52B✅
- ⁠Scene 48B✅
- ⁠scene 52✅
- ⁠Scene 52A-1✅
- ⁠Scene 54 ✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C (15 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  8 days 
 • Sisa Shooting Days : 10 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omitted",
Shooting - Day 9,"6/10/2025, 8:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"EOD Shooting Day 9 - Progress shooting sudah mencapai 51%

Crew call:  06.30 WIB
First Meal : 06.30 WIB
First Cam Roll:  08. 54 WIB

Second Meal : 11.55 WIB
Break off: 12.40 WIB
Second Roll:  13.46 WIB

Third Meal :  17.20 WIB
Break Off  : 18.30WIB
Third roll: 19.35WIB

WRAP :  23.30 WIB

SCENE : 4
- ⁠Scene 55✅
- ⁠scene 57✅
- ⁠Scene 59✅
- ⁠Scene 37✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C (15 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  9 days 
 • Sisa Shooting Days : 9 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 10,"6/11/2025, 8:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  07.00 WIB
First Meal : 07.00 WIB
First Cam Roll:  09.47 WIB

Second Meal : 12.00 WIB
Break off: 12.50 WIB
Second Roll:  13.28 WIB

Third Meal :  18.24 WIB
Break Off  : 19.20 WIB
Third roll: 19.51 WIB

WRAP :  22.36 WIB

SCENE : 10

- ⁠Scene 9✅
- ⁠scene 36C✅
- ⁠Scene 74A✅
- ⁠Scene 68F✅
- ⁠Scene 68E.2 (Retake)✅
- ⁠Scene 68A.2✅
- ⁠Scene 67.5 ✅
- ⁠Scene 67.4✅
- ⁠Scene 67.2 ✅
- ⁠Scene 67.3 ✅

Add Scene: scene 71.2 ✅, 71.3 ✅, 71.4 ✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15. (18 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  10 days 
 • Sisa Shooting Days : 8 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 11,"6/13/2025, 8:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.00 WIB
First Meal : 06.00 WIB
First Cam Roll:  08.38 WIB

Second Meal : 11.47 WIB
Break off: 13.15 WIB
Second Roll:  13.38 WIB

Third Meal :  18.00 WIB
Break Off  : 18.40 WIB
Third roll: 19.25 WIB

WRAP :  00.05 WIB

Notes : 
SCENE : 12

- ⁠Scene 40A✅
- ⁠scene 73A✅
- ⁠Scene 76C✅
- ⁠Scene 76D❌
- ⁠Scene 18A✅
- ⁠Scene 31A✅
- ⁠Scene 36D✅
- ⁠Scene 62A✅
- ⁠Scene54A✅
- ⁠Scene 17A✅
- ⁠Scene 17C✅
- ⁠Scene 25.1✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15, 76E, 76D. (20 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  11 days 
 • Sisa Shooting Days : 7 udays 


Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 12,"6/14/2025, 6:30:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  15.30 WIB
First Meal : 18.00 WIB
First Cam Roll:  19.33 WIB

Second Meal : 00.25 WIB
Break off: 01.11 WIB
Second Roll: 02.19 WIB

Third Meal :  04.00 WIB
Break Off  : WIB
Third roll: WIB


WRAP : 05.20 WIB

SCENE : 4

- ⁠Scene 73B✅
- ⁠scene 74✅
- ⁠Scene 70✅
- ⁠Scene 71✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15, 76E, 76D. (20 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  12 days 
 • Sisa Shooting Days : 6 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 13 - Pending Scene,"6/15/2025, 7:30:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Pada hari ke-13 kegiatan shooting, tim produksi telah mengambil 3-4 scene sesuai jadwal yang telah direncanakan (namun belum bisa dipastikan file oke/tidak) :
- Scene 14📽️
- ⁠scene 14A📽️
- ⁠Scene 14B📽️
- ⁠Scene 16📽️

Namun, di tengah berjalannya produksi, kami menerima kabar duka bahwa salah satu anggota crew Make Up yaitu Ujang Suwandi (Andini) meninggal dunia.

Kronologi kejadiannya sebagai berikut :
- Almarhum sempat mengeluh dadanya sakit kepada salah satu crew
- Produksi mengambil tindakan memberikan oxygen untuk membantu bernafas dan dibawa ambulance ke rumah sakit terdekat (ambulance standby setiap hari di lokasi)
- Saat sampai rumah sakit almarhum masih sadar dan bisa berbicara normal, namun tidak lama kemudian almaruh mengeluh ke dokter punggungnya sakit kemudian kejang-kejang lalu dokter mengambil tindakan atas persetujuan, namun sayangnya nyawa Ujang Suwandi (Andini) tidak dapat tertolong.

Sebagai bentuk penghormatan dan empati atas musibah yang terjadi, seluruh kegiatan shooting pada hari tersebut dihentikan dan tidak dilanjutkan. Penghentian ini dilakukan agar seluruh tim dapat memberikan waktu dan ruang untuk berduka, serta sebagai bentuk solidaritas kepada keluarga yang ditinggalkan.

Keputusan penghentian shooting ini disepakati oleh top management, produser, director dan seluruh tim produksi, dengan mempertimbangkan situasi yang terjadi secara menyeluruh.

Adapun untuk langkah dan penyesuaian jadwal produksi selanjutnya, saat ini masih dalam proses pembahasan oleh top management dan akan segera diinformasikan lebih lanjut setelah keputusan resmi diambil.

Prepared by,
Ang.",
Reading & Fitting Talent Surabaya,"6/17/2025, 12:00:00 PM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Date : Selasa, 17 Juni 2025
Tempat : Ruang Meeting Sky Lounge 147 Lantai 20 - Gold Vitel Hotel 
📍 https://maps.app.goo.gl/NqTrSx1AhVZPZnEo8?g_st=aw

Crew Call 12:00 WIB 

Fitting 13:00 WIB

Participant 
- Production Team 
- Make Up Team 
- Wardrobe Team 
- Talco Team 

Talent 
1. Mat saleh 
2. ⁠Fatimah 
3. ⁠Zaenab
4. ⁠Jamilah 
5. ⁠Niki 
6. ⁠Ryan 
7. ⁠Geby 
8. ⁠Presenter tv 
9. ⁠Riki
10. ⁠Abah Toko Besi 
",
Shooting - Day 14,"6/18/2025, 7:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  05.30 WIB
First Meal : 05.30 WIB
First Cam Roll:  08.25 WIB

Second Meal :12.05 WIB
Break off:13.00 WIB
Second Roll: 13.15 WIB

Third Meal :  18.00 WIB
Break Off  : 18.30 WIB
Third roll: 19.00 WIB

WRAP : 20.38 WIB

SCENE : 8

- ⁠Scene 7 ✅
- ⁠scene 6✅
- ⁠Scene 8✅
- ⁠Scene 5B✅
- ⁠Scene 5C✅
- ⁠Scene 5D✅
- ⁠Scene 68B ✅
- ⁠Scene 68B.2✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15, 76E, 76D. (20 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  14 days 
 • Sisa Shooting Days : 4 days 


Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 15,"6/19/2025, 7:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  05.30 WIB
First Meal : 05.30 WIB
First Cam Roll:  07.41 WIB

Second Meal : 12.30 WIB
Break off: 13.10 WIB
Second Roll: 13.50 WIB

Third Meal :  17.30 WIB
Break Off  : 18.20 WIB
Third roll: 19.00 WIB

WRAP : 21.40 WIB

SCENE : 6

- ⁠Scene 42A✅
- ⁠Scene 42B✅
- ⁠Scene 29✅
- ⁠Scene 29A✅
- ⁠Scene 62✅
- ⁠Scene 66✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15, 76E, 76D. (20 scene)❌

 Recap : 
 • Target Shooting Days : 18 days 
 • Progress Day shoot :  15 days 
 • Sisa Shooting Days : 3 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 16,"6/20/2025, 7:30:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Online,,
Shooting - Day 17,"6/21/2025, 8:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  06.00 WIB
First Meal : 06.00 WIB
First Cam Roll:  07.35 WIB

Second Meal : 12.05 WIB
Break off: 12.50 WIB
Second Roll: 13.42 WIB

Third Meal :  18.42 WIB
Break Off  : WIB
Third roll: WIB

WRAP : 18.42 WIB

SCENE : 8

- Scene 27✅
- ⁠Scene 51✅
- ⁠Scene 52.1 ✅
- ⁠Scene 49B✅
- ⁠Scene 50✅
- ⁠Scene 28✅
- scene 30A.1✅
- ⁠Secene 36 A✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15, 76E, 76D. (20 scene)❌

 Recap : 
 • Target Shooting Days : 19 days 
 • Progress Day shoot :  17 days 
 • Sisa Shooting Days : 2 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
Shooting - Day 18 ,"6/22/2025, 8:00:00 AM",,,Foufo,"bod,team,partner,crew",Meeting,Production,,Offline,"Crew call:  05.30 WIB
First Meal : 05.30 WIB
First Cam Roll:  08.09 WIB

Second Meal : 11.40 WIB
Break off: 12.20 WIB
Second Roll: 13.01WIB

Third Meal :  17.45 WIB
Break Off  : 18.25 WIB
Third roll: 18.30 WIB

WRAP : 19.04 WIB

SCENE : 12

- Scene 30✅
- ⁠Scene 30B✅
- ⁠Scene 49A✅
- ⁠Scene 53A✅
- ⁠Scene 53B✅
- ⁠Scene 53C✅
- scene  5C.2✅
- ⁠Secene 76B✅
- ⁠Scene 76A.1✅
- ⁠Scene 62A✅
- ⁠Scene 30A✅
- ⁠Scene 36B✅

Add Scene: 53D ✅

Scene Omitted: 2A, 3, 4, 33, 34, 35, 36, 38, 39, 41, 43, 44, 61, 76A, 68C, 68G, 69, 15, 76E, 76D. (20 scene)❌

 Recap : 
 • Target Shooting Days : 19 days 
 • Progress Day shoot :  18 hdays 
 • Sisa Shooting Days : 1 days 

Terima kasih

✅ : Scene Done
📽️: Scene On Progress
⏹️ : Pending
❌ : Scene Omittedd",
